,UniversalName,Strain,Accessions,WholeGenome,InfectsHumans,fold
2,NC_054015,NC_054015,NC_054015,1,FALSE,test
3,NC_055953,NC_055953,NC_055953,1,FALSE,test
4,NC_076629,NC_076629,NC_076629,1,FALSE,test
7,NC_076697,NC_076697,NC_076697,1,FALSE,test
8,NC_048211,NC_048211,NC_048211,1,FALSE,test
9,NC_048212,NC_048212,NC_048212,1,FALSE,test
10,NC_048213,NC_048213,NC_048213,1,FALSE,test
11,NC_048214,NC_048214,NC_048214,1,FALSE,test
12,NC_048216,NC_048216,NC_048216,1,FALSE,test
14,NC_046954,NC_046954,NC_046954,1,FALSE,test
15,NC_046955,NC_046955,NC_046955,1,FALSE,test
16,NC_046964,NC_046964,NC_046964,1,FALSE,test
17,NC_046965,NC_046965,NC_046965,1,FALSE,test
19,NC_011547,NC_011547,NC_011547,1,FALSE,test
22,NC_039207,NC_039207,NC_039207,1,FALSE,test
23,NC_039208,NC_039208,NC_039208,1,FALSE,test
24,NC_035191,NC_035191,NC_035191,1,FALSE,test
25,NC_034972,NC_034972,NC_034972,1,FALSE,test
26,NC_034440,NC_034440,NC_034440,1,FALSE,test
27,NC_032730,NC_032730,NC_032730,1,FALSE,test
28,NC_032107,NC_032107,NC_032107,1,FALSE,test
29,NC_030886,NC_030886,NC_030886,1,FALSE,test
30,NC_030292,NC_030292,NC_030292,1,FALSE,test
31,NC_028752,NC_028752,NC_028752,1,FALSE,test
32,NC_028806,NC_028806,NC_028806,1,FALSE,test
33,NC_028811,NC_028811,NC_028811,1,FALSE,test
34,NC_028814,NC_028814,NC_028814,1,FALSE,test
35,NC_028824,NC_028824,NC_028824,1,FALSE,test
36,NC_028833,NC_028833,NC_028833,1,FALSE,test
37,NC_026011,NC_026011,NC_026011,1,FALSE,test
38,NC_025217,NC_025217,NC_025217,1,FALSE,test
41,NC_022103,NC_022103,NC_022103,1,FALSE,test
42,NC_019843,NC_019843,NC_019843,1,TRUE,test
43,NC_018871,NC_018871,NC_018871,1,FALSE,test
44,NC_017083,NC_017083,NC_017083,1,FALSE,test
45,NC_016991,NC_016991,NC_016991,1,FALSE,test
46,NC_016992,NC_016992,NC_016992,1,FALSE,test
47,NC_016993,NC_016993,NC_016993,1,FALSE,test
48,NC_016994,NC_016994,NC_016994,1,FALSE,test
49,NC_016995,NC_016995,NC_016995,1,FALSE,test
50,NC_016996,NC_016996,NC_016996,1,FALSE,test
51,NC_014470,NC_014470,NC_014470,1,FALSE,test
53,NC_011549,NC_011549,NC_011549,1,FALSE,test
54,NC_011550,NC_011550,NC_011550,1,FALSE,test
