virus_ID	Family	database	blast	deepac	dnabert	kNN	vibe	zoonotic_rank	Genus	Species	refseq.id	dataset	label	host_label
AB031663	Flaviviridae	GenBank	1.0	0.9029950257390738	0.977957562004265	1.0	0.9220510268289792	0.9977124673128128	Hepacivirus	Hepacivirus C	AB031663	past	1.0	1.0
AB049088	Flaviviridae	GenBank	1.0	0.9979590417502764	0.9991270218576704	1.0	0.9868834589595918	0.9977124673128128	Hepacivirus	Hepacivirus C	AB049088	past	1.0	1.0
AB114858	Flaviviridae	GenBank	0.0	0.0442394327971784	0.0624041005249145	0.1	0.0949622327548815	0.9977124673128128	Flavivirus	Yokose virus	AB114858	past	0.0	0.0
AB122020	Flaviviridae	GenBank	1.0	0.850163417002734	0.9951889493886162	1.0	0.9965634668574612	0.9977124673128128	Flavivirus	Dengue virus	AB122020	past	1.0	1.0
AB122021	Flaviviridae	GenBank	1.0	0.8487640752511866	0.9951849804205052	1.0	0.9965640201288112	0.9977124673128128	Flavivirus	Dengue virus	AB122021	past	1.0	1.0
AB122022	Flaviviridae	GenBank	1.0	0.8496824152329389	0.9951986936961904	1.0	0.9965645712964676	0.9977124673128128	Flavivirus	Dengue virus	AB122022	past	1.0	1.0
AB189120	Flaviviridae	GenBank	1.0	0.9878858806088914	0.999039893926576	1.0	0.996953978788021	0.9977124673128128	Flavivirus	Dengue virus	AB189120	past	1.0	1.0
AB189121	Flaviviridae	GenBank	1.0	0.988467937985132	0.999044012884761	1.0	0.9973302601381788	0.9977124673128128	Flavivirus	Dengue virus	AB189121	past	1.0	1.0
AB189122	Flaviviridae	GenBank	1.0	0.9418893147917354	0.9971812956473408	1.0	0.9971373880610748	0.9977124673128128	Flavivirus	Dengue virus	AB189122	past	1.0	1.0
AB189123	Flaviviridae	GenBank	1.0	0.9418568204430972	0.9971052520415362	1.0	0.9970984928748188	0.9977124673128128	Flavivirus	Dengue virus	AB189123	past	1.0	1.0
AB189124	Flaviviridae	GenBank	1.0	0.9422888552441316	0.997194078389336	1.0	0.9970985384548412	0.9977124673128128	Flavivirus	Dengue virus	AB189124	past	1.0	1.0
AB189125	Flaviviridae	GenBank	1.0	0.9963359790689804	0.9990205806844374	1.0	0.99717356597676	0.9977124673128128	Flavivirus	Dengue virus	AB189125	past	1.0	1.0
AB189126	Flaviviridae	GenBank	1.0	0.996577189950382	0.9990774575401756	1.0	0.9971971006954418	0.9977124673128128	Flavivirus	Dengue virus	AB189126	past	1.0	1.0
AB189127	Flaviviridae	GenBank	1.0	0.9963890208917504	0.999072149921866	1.0	0.997214363603031	0.9977124673128128	Flavivirus	Dengue virus	AB189127	past	1.0	1.0
AB189128	Flaviviridae	GenBank	1.0	0.9965178777189816	0.99904447443345	1.0	0.9972057805341832	0.9977124673128128	Flavivirus	Dengue virus	AB189128	past	1.0	1.0
AB195673	Flaviviridae	GenBank	1.0	0.9874840315650492	0.99903844314463	1.0	0.9857176834005204	0.9977124673128128	Flavivirus	Dengue virus	AB195673	past	1.0	1.0
AB204803	Flaviviridae	GenBank	1.0	0.9872184655245612	0.9990169959909776	1.0	0.9972184700124404	0.9977124673128128	Flavivirus	Dengue virus	AB204803	past	1.0	1.0
AB214879	Flaviviridae	GenBank	1.0	0.9950841651243322	0.9990773355259616	1.0	0.9969892761286568	0.9977124673128128	Flavivirus	Dengue virus	AB214879	past	1.0	1.0
