Accession,Organism_Name,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
NC_077666.1,Puumala orthohantavirus,,"Giebel,L.B., Stohwasser,R., Zoller,L., Bautz,E.K., Darai,G.","National Center for Biotechnology Information, NIH",USA,2023-05-06T00:00:00Z,,Puumala orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),3682,RefSeq,complete,,,1,,,,,,,,"Puumala virus CG1820 virus M genome segment, complete cds"
NC_077667.1,Puumala orthohantavirus,,"Stohwasser,R., Raab,K., Darai,G., Bautz,E.K.","National Center for Biotechnology Information, NIH",USA,2023-05-06T00:00:00Z,,Puumala orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),6550,RefSeq,complete,,,1,,,,,,,,Puumala virus CG1820 RNA-dependent RNA polymerase gene in L RNA segment
NC_077668.1,Puumala orthohantavirus,,"Stohwasser,R., Giebel,L.B., Zoller,L., Bautz,E.K., Darai,G.","National Center for Biotechnology Information, NIH",USA,2023-05-06T00:00:00Z,,Puumala orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),1784,RefSeq,complete,,,1,,,,,,,,"Puumala virus CG1820 segment S nucleocapsid protein mRNA, 5' end"
NC_077669.1,Sin Nombre orthohantavirus,,"Chizhikov,V.E., Spiropoulou,C.F., Morzunov,S.P., Monroe,M.C., Peters,C.J., Nichol,S.T.","National Center for Biotechnology Information, NIH",USA,2023-05-06T00:00:00Z,NM R11,Sin Nombre orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),2060,RefSeq,complete,,,1,,,,Peromyscus maniculatus,,,,"Sin Nombre virus (NM R11) RNA S segment encoding nucleocapsid protein (N protein), complete cds"
NC_077670.1,Sin Nombre orthohantavirus,,"Chizhikov,V.E., Spiropoulou,C.F., Morzunov,S.P., Monroe,M.C., Peters,C.J., Nichol,S.T.","National Center for Biotechnology Information, NIH",USA,2023-05-06T00:00:00Z,NM R11,Sin Nombre orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),3696,RefSeq,complete,,,1,,,,Peromyscus maniculatus,,,,"Sin Nombre virus (NM R11) RNA M segment encoding surface glycoproteins (G1 and G2 proteins), complete cds"
NC_077671.1,Sin Nombre orthohantavirus,,"Chizhikov,V.E., Spiropoulou,C.F., Morzunov,S.P., Monroe,M.C., Peters,C.J., Nichol,S.T.","National Center for Biotechnology Information, NIH",USA,2023-05-06T00:00:00Z,NM R11,Sin Nombre orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),6562,RefSeq,complete,,,1,,,,Peromyscus maniculatus,,,,"Sin Nombre virus (NM R11) RNA L segment encoding RNA polymerase (L protein), complete cds"
NC_078261.1,Xuan son virus,,,"National Center for Biotechnology Information, NIH",USA,2023-05-06T00:00:00Z,PR15,Xuan Son mobatvirus,Mobatvirus,Hantaviridae,ssRNA(-),3583,RefSeq,complete,,M,,"China: Yunnan province, Puer city",China,,Hipposideros pomona,lung,2013,,"Xuan son virus isolate PR15 segment M, complete sequence"
NC_078262.1,Xuan son virus,,,"National Center for Biotechnology Information, NIH",USA,2023-05-06T00:00:00Z,PR15,Xuan Son mobatvirus,Mobatvirus,Hantaviridae,ssRNA(-),6522,RefSeq,complete,,L,,"China: Yunnan province, Puer city",China,,Hipposideros pomona,lung,2013,,"Xuan son virus isolate PR15 segment L, complete sequence"
NC_078263.1,Xuan son virus,,,"National Center for Biotechnology Information, NIH",USA,2023-05-06T00:00:00Z,PR15,Xuan Son mobatvirus,Mobatvirus,Hantaviridae,ssRNA(-),1743,RefSeq,complete,,S,,"China: Yunnan province, Puer city",China,,Hipposideros pomona,lung,2013,,"Xuan son virus isolate PR15 segment S, complete sequence"
NC_078483.1,Lena River virus,,"Yashina,L.N., Kartashov,M.Y., Wang,W., Li,K., Zdanovskaya,N.I., Ivanov,L.I., Zhang,Y.Z.","National Center for Biotechnology Information, NIH",USA,2023-05-06T00:00:00Z,,Lena River virus,Orthohantavirus,Hantaviridae,ssRNA(-),1788,RefSeq,complete,,S,1,Russia: Khabarovsk Krai,Russia,,Sorex caecutiens,lung,Feb-08,,"Lena River virus strain Khekhtsir-Sc67/Russia/2008 segment S NP (QK712_sSgp1) gene, complete cds"
NC_078484.1,Lena River virus,,"Yashina,L.N., Kartashov,M.Y., Wang,W., Li,K., Zdanovskaya,N.I., Ivanov,L.I., Zhang,Y.Z.","National Center for Biotechnology Information, NIH",USA,2023-05-06T00:00:00Z,,Lena River virus,Orthohantavirus,Hantaviridae,ssRNA(-),3606,RefSeq,complete,,M,1,Russia: Khabarovsk Krai,Russia,,Sorex caecutiens,lung,Feb-08,,"Lena River virus segment M, complete sequence"
NC_078485.1,Lena River virus,,"Yashina,L.N., Kartashov,M.Y., Wang,W., Li,K., Zdanovskaya,N.I., Ivanov,L.I., Zhang,Y.Z.","National Center for Biotechnology Information, NIH",USA,2023-05-06T00:00:00Z,,Lena River virus,Orthohantavirus,Hantaviridae,ssRNA(-),6533,RefSeq,complete,,L,1,Russia: Khabarovsk Krai,Russia,,Sorex caecutiens,lung,Feb-08,,"Lena River virus strain Khekhtsir-Sc67/Russia/2008 RdRp (QK712_sLgp1) gene, complete cds"
NC_055147.1,Tigray virus,,,"National Center for Biotechnology Information, NIH",USA,2021-06-01T00:00:00Z,ET2121,Tigray orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),6532,RefSeq,complete,,L,,Ethiopia,Ethiopia,,Stenocephalemys albipes,"liver, abdominal cavity",2010/10/10,,"Tigray hantavirus isolate ET2121 segment L, complete sequence"
NC_055170.1,Hainan oriental leaf-toed gecko hantavirus,,,"National Center for Biotechnology Information, NIH",USA,2021-06-01T00:00:00Z,,Gecko reptillovirus,Reptillovirus,Hantaviridae,ssRNA(-),6627,RefSeq,complete,,L,,China,China,,Hemidactylus bowringii,,,,"Hainan oriental leaf-toed gecko hantavirus strain LPXYF84819 L protein gene, complete cds"
NC_055171.1,Wenling minipizza batfish hantavirus,,,"National Center for Biotechnology Information, NIH",USA,2021-06-01T00:00:00Z,,Batfish actinovirus,Actinovirus,Hantaviridae,ssRNA(-),5301,RefSeq,complete,,L,,China,China,,Halieutaea stellata,,,,"Wenling minipizza batfish hantavirus strain XQTMS16810 L protein gene, partial cds"
NC_055172.1,Wenling yellow goosefish hantavirus,,,"National Center for Biotechnology Information, NIH",USA,2021-06-01T00:00:00Z,,Goosefish actinovirus,Actinovirus,Hantaviridae,ssRNA(-),6403,RefSeq,complete,,L,,China,China,,Lophius litulon,,,,"Wenling yellow goosefish hantavirus strain XQTMS34106 segment L, complete sequence"
NC_055173.1,Wenling red spikefish hantavirus,,,"National Center for Biotechnology Information, NIH",USA,2021-06-01T00:00:00Z,,Spikefish actinovirus,Actinovirus,Hantaviridae,ssRNA(-),6305,RefSeq,complete,,L,,China,China,,Triacanthodes anomalus,,,,"Wenling red spikefish hantavirus strain XTXMS70955 segment L, complete sequence"
NC_055174.1,Wenling hagfish virus,,,"National Center for Biotechnology Information, NIH",USA,2021-06-01T00:00:00Z,,Hagfish agnathovirus,Agnathovirus,Hantaviridae,ssRNA(-),6761,RefSeq,complete,,L,,China,China,,Eptatretus burgeri,,,,"Wenling hagfish hantavirus strain DHMMS25300 segment L, complete sequence"
NC_055375.1,Brno virus,,"Strakova,P., Dufkova,L., Sirmarova,J., Salat,J., Bartonicka,T., Klempa,B., Pfaff,F., Hoper,D., Hoffmann,B., Ulrich,R.G., Ruzek,D.","National Center for Biotechnology Information, NIH",USA,2021-06-01T00:00:00Z,,Brno loanvirus,Loanvirus,Hantaviridae,ssRNA(-),1269,RefSeq,complete,,2,1,Czech Republic,Czech Republic,,Nyctalus noctula,liver,2012,,"Brno virus strain 7/2012/CZE nucleocapsid protein gene, partial cds"
NC_055376.1,Brno virus,,"Strakova,P., Dufkova,L., Sirmarova,J., Salat,J., Bartonicka,T., Klempa,B., Pfaff,F., Hoper,D., Hoffmann,B., Ulrich,R.G., Ruzek,D.","National Center for Biotechnology Information, NIH",USA,2021-06-01T00:00:00Z,,Brno loanvirus,Loanvirus,Hantaviridae,ssRNA(-),6432,RefSeq,complete,,1,1,Czech Republic,Czech Republic,,Nyctalus noctula,liver,2012,,"Brno virus strain 7/2012/CZE RNA-dependent RNA polymerase gene, partial cds"
NC_055377.1,Brno virus,,"Strakova,P., Dufkova,L., Sirmarova,J., Salat,J., Bartonicka,T., Klempa,B., Pfaff,F., Hoper,D., Hoffmann,B., Ulrich,R.G., Ruzek,D.","National Center for Biotechnology Information, NIH",USA,2021-06-01T00:00:00Z,,Brno loanvirus,Loanvirus,Hantaviridae,ssRNA(-),3408,RefSeq,complete,,3,1,Czech Republic,Czech Republic,,Nyctalus noctula,liver,2012,,"Brno virus strain 7/2012/CZE glycoprotein precursor, gene, partial cds"
