,refseq.id,fold_0,label,sampling,database,date,fold_1,fold_2,fold_3,fold_4,host_label,Genus,virus_ID,Family,Species
73331,OQ175110,train,0,normal,GenBank,20240206,pred,train,train,train,0.0,,OQ175110,Coronaviridae,Bat Coronavirus MrGD17
73332,OQ175111,train,0,normal,GenBank,20240206,pred,train,dev,train,0.0,,OQ175111,Coronaviridae,Bat Coronavirus MrGD17
73333,OQ175112,train,0,normal,GenBank,20240206,pred,train,train,dev,0.0,,OQ175112,Coronaviridae,Bat Coronavirus MrGD17
73334,OQ175113,train,0,normal,GenBank,20240206,pred,train,train,train,0.0,,OQ175113,Coronaviridae,Bat Coronavirus MrGD17
73335,OQ175114,train,0,normal,GenBank,20240206,pred,train,train,train,0.0,,OQ175114,Coronaviridae,Bat Coronavirus MrGD17
73336,OQ175117,train,0,normal,GenBank,20240206,pred,train,train,train,0.0,,OQ175117,Coronaviridae,Bat Coronavirus MrGX17
73337,OQ175119,train,0,normal,GenBank,20240206,pred,train,train,train,0.0,,OQ175119,Coronaviridae,Bat Coronavirus MrYN17
73338,OQ175127,train,0,normal,GenBank,20240206,pred,train,train,train,0.0,,OQ175127,Coronaviridae,Bat Coronavirus PaGX17
73339,OQ175128,train,0,normal,GenBank,20240206,pred,train,train,train,0.0,,OQ175128,Coronaviridae,Bat Coronavirus PaGX17
73340,OQ175144,train,0,normal,GenBank,20240206,pred,train,dev,train,0.0,,OQ175144,Coronaviridae,Bat Coronavirus MrGD17
73341,OQ175145,train,0,normal,GenBank,20240206,pred,train,train,dev,0.0,,OQ175145,Coronaviridae,Bat Coronavirus MrGD17
73342,OQ175146,train,0,normal,GenBank,20240206,pred,train,train,train,0.0,,OQ175146,Coronaviridae,Bat Coronavirus MrGD17
73343,OQ175147,train,0,normal,GenBank,20240206,pred,train,dev,train,0.0,,OQ175147,Coronaviridae,Bat Coronavirus MrGD17
73344,OQ175148,train,0,normal,GenBank,20240206,pred,dev,train,dev,0.0,,OQ175148,Coronaviridae,Bat Coronavirus MrGD17
73345,OQ175149,train,0,normal,GenBank,20240206,pred,train,dev,train,0.0,,OQ175149,Coronaviridae,Bat Coronavirus MrGD17
73346,OQ175152,train,0,normal,GenBank,20240206,pred,train,train,dev,0.0,,OQ175152,Coronaviridae,Bat Coronavirus MrGX17
73347,OQ175162,train,0,normal,GenBank,20240206,pred,train,dev,train,0.0,,OQ175162,Coronaviridae,Bat Coronavirus SkGD17
73348,OQ175163,train,0,normal,GenBank,20240206,pred,dev,train,train,0.0,,OQ175163,Coronaviridae,Bat Coronavirus SkGD17
73349,OQ175183,train,0,normal,GenBank,20240206,train,pred,train,dev,0.0,,OQ175183,Coronaviridae,Bat Coronavirus SkGX17
73350,OQ175184,train,0,normal,GenBank,20240206,train,pred,train,train,0.0,,OQ175184,Coronaviridae,Bat Coronavirus SkGX17
73351,OQ175186,train,0,normal,GenBank,20240206,train,pred,train,train,0.0,,OQ175186,Coronaviridae,Bat Coronavirus SkGX17
73352,OQ175187,train,0,normal,GenBank,20240206,dev,pred,train,train,0.0,,OQ175187,Coronaviridae,Bat Coronavirus SkGX17
73353,OQ175188,train,0,normal,GenBank,20240206,train,pred,train,dev,0.0,,OQ175188,Coronaviridae,Bat Coronavirus SkGX17
73354,OQ175203,train,0,normal,GenBank,20240206,train,pred,dev,dev,0.0,,OQ175203,Coronaviridae,Bat Coronavirus RaGX17
73355,OQ175209,train,0,normal,GenBank,20240206,train,pred,train,dev,0.0,,OQ175209,Coronaviridae,Bat Coronavirus RpGX17
73356,OQ175231,train,0,normal,GenBank,20240206,train,pred,train,train,0.0,,OQ175231,Coronaviridae,Bat Coronavirus PaGX17
73357,OQ175232,train,0,normal,GenBank,20240206,train,pred,dev,train,0.0,,OQ175232,Coronaviridae,Bat Coronavirus RpGX17
73358,OQ175235,train,0,normal,GenBank,20240206,train,pred,train,train,0.0,,OQ175235,Coronaviridae,Bat Coronavirus RpGX17
73359,OQ175236,train,0,normal,GenBank,20240206,train,pred,train,dev,0.0,,OQ175236,Coronaviridae,Bat Coronavirus RpGX17
73360,OQ175245,train,0,normal,GenBank,20240206,dev,pred,dev,train,0.0,,OQ175245,Coronaviridae,Bat Coronavirus RpGX17
73361,OQ175255,train,0,normal,GenBank,20240206,train,train,pred,dev,0.0,,OQ175255,Coronaviridae,Bat Coronavirus RsGD17
73362,OQ175288,train,0,normal,GenBank,20240206,train,train,pred,train,0.0,,OQ175288,Coronaviridae,Bat Coronavirus PaGD17
73363,OQ175314,train,0,normal,GenBank,20240206,train,train,pred,train,0.0,,OQ175314,Coronaviridae,Bat Coronavirus TpGD17
73364,OQ175323,train,0,normal,GenBank,20240206,train,dev,pred,dev,0.0,,OQ175323,Coronaviridae,Bat Coronavirus TpGX17
73365,OQ175333,train,0,normal,GenBank,20240206,train,train,train,pred,0.0,,OQ175333,Coronaviridae,Bat Coronavirus EsYN17
73366,OQ175334,train,0,normal,GenBank,20240206,train,train,train,pred,0.0,,OQ175334,Coronaviridae,Bat Coronavirus EsYN17
73367,OQ175341,train,0,normal,GenBank,20240206,train,train,train,pred,0.0,,OQ175341,Coronaviridae,Bat Coronavirus RlYN17
73368,OQ939561,train,0,normal,GenBank,20240206,train,train,train,pred,0.0,,OQ939561,Coronaviridae,Mouse coronavirus
73369,ON554107,train,1,normal,GenBank,20240206,pred,dev,train,train,1.0,Alphacoronavirus,ON554107,Coronaviridae,Human coronavirus 229E
73370,ON554108,train,1,normal,GenBank,20240206,pred,train,dev,train,1.0,Alphacoronavirus,ON554108,Coronaviridae,Human coronavirus 229E
73371,ON554109,train,1,normal,GenBank,20240206,pred,train,train,train,1.0,Alphacoronavirus,ON554109,Coronaviridae,Human coronavirus 229E
73372,ON554110,train,1,normal,GenBank,20240206,pred,train,train,train,1.0,Alphacoronavirus,ON554110,Coronaviridae,Human coronavirus 229E
73373,ON554111,train,1,normal,GenBank,20240206,pred,dev,dev,train,1.0,Alphacoronavirus,ON554111,Coronaviridae,Human coronavirus 229E
73374,ON554112,train,1,normal,GenBank,20240206,pred,train,train,train,1.0,Alphacoronavirus,ON554112,Coronaviridae,Human coronavirus 229E
73375,ON554113,train,1,normal,GenBank,20240206,pred,train,train,train,1.0,Alphacoronavirus,ON554113,Coronaviridae,Human coronavirus 229E
73376,ON554114,train,1,normal,GenBank,20240206,pred,train,train,train,1.0,Alphacoronavirus,ON554114,Coronaviridae,Human coronavirus 229E
73377,ON554115,train,1,normal,GenBank,20240206,pred,train,train,train,1.0,Alphacoronavirus,ON554115,Coronaviridae,Human coronavirus 229E
73378,ON554116,train,1,normal,GenBank,20240206,pred,train,dev,train,1.0,Alphacoronavirus,ON554116,Coronaviridae,Human coronavirus 229E
73379,ON554117,train,1,normal,GenBank,20240206,pred,train,train,train,1.0,Alphacoronavirus,ON554117,Coronaviridae,Human coronavirus 229E
73380,ON554118,train,1,normal,GenBank,20240206,pred,train,train,train,1.0,Alphacoronavirus,ON554118,Coronaviridae,Human coronavirus 229E
73381,ON554119,train,1,normal,GenBank,20240206,pred,train,train,train,1.0,Alphacoronavirus,ON554119,Coronaviridae,Human coronavirus 229E
73382,ON554120,train,1,normal,GenBank,20240206,pred,train,train,train,1.0,Alphacoronavirus,ON554120,Coronaviridae,Human coronavirus 229E
73383,ON554121,train,1,normal,GenBank,20240206,pred,train,train,train,1.0,Alphacoronavirus,ON554121,Coronaviridae,Human coronavirus 229E
73384,ON554122,train,1,normal,GenBank,20240206,pred,train,train,dev,1.0,Alphacoronavirus,ON554122,Coronaviridae,Human coronavirus 229E
73385,ON554124,train,1,normal,GenBank,20240206,pred,dev,train,train,1.0,Alphacoronavirus,ON554124,Coronaviridae,Human coronavirus 229E
73386,ON554127,train,1,normal,GenBank,20240206,pred,train,train,train,1.0,Alphacoronavirus,ON554127,Coronaviridae,Human coronavirus 229E
73387,ON554128,train,1,normal,GenBank,20240206,pred,train,train,train,1.0,Alphacoronavirus,ON554128,Coronaviridae,Human coronavirus 229E
73388,OK073076,train,1,normal,GenBank,20240206,pred,train,train,train,1.0,Alphacoronavirus,OK073076,Coronaviridae,Human coronavirus NL63
73389,OK073078,train,1,normal,GenBank,20240206,pred,train,train,train,1.0,Alphacoronavirus,OK073078,Coronaviridae,Human coronavirus 229E
73390,OK073084,train,1,normal,GenBank,20240206,train,pred,train,train,1.0,Alphacoronavirus,OK073084,Coronaviridae,Human coronavirus 229E
73391,MW591993,train,1,normal,GenBank,20240206,train,pred,dev,dev,1.0,Alphacoronavirus,MW591993,Coronaviridae,Alphacoronavirus 1
73392,MN655005,train,0,normal,GenBank,20240206,pred,train,train,train,0.0,Betacoronavirus,MN655005,Coronaviridae,Middle East respiratory syndrome-related coronavirus
73393,MN307884,train,0,normal,GenBank,20240206,pred,dev,train,train,0.0,Gammacoronavirus,MN307884,Coronaviridae,Avian coronavirus
73394,MT040333,train,0,normal,GenBank,20240206,pred,train,train,dev,0.0,Betacoronavirus,MT040333,Coronaviridae,Pangolin coronavirus
73395,MT040334,train,0,normal,GenBank,20240206,pred,train,train,train,0.0,Betacoronavirus,MT040334,Coronaviridae,Pangolin coronavirus
73396,MT040335,train,0,normal,GenBank,20240206,pred,train,train,train,0.0,Betacoronavirus,MT040335,Coronaviridae,Pangolin coronavirus
73397,MT040336,train,0,normal,GenBank,20240206,pred,dev,train,train,0.0,Betacoronavirus,MT040336,Coronaviridae,Pangolin coronavirus
73398,MN512434,train,0,normal,GenBank,20240206,pred,train,train,train,0.0,Gammacoronavirus,MN512434,Coronaviridae,Avian coronavirus
73399,MN512435,train,0,normal,GenBank,20240206,pred,train,train,dev,0.0,Gammacoronavirus,MN512435,Coronaviridae,Avian coronavirus
