	refseq.id	label	train_date	train_virus	host_label	Genus	virus_ID	Family	database	Species
17592	NC_054003	0	20240206	Coronaviridae	0.0	Alphacoronavirus	NC_054003	Coronaviridae	GenBank	Alphacoronavirus sp.
17593	NC_054004	0	20240206	Coronaviridae	0.0	Alphacoronavirus	NC_054004	Coronaviridae	GenBank	Alphacoronavirus CHB25
17594	NC_076684	0	20240206	Coronaviridae	0.0	Alphacoronavirus	NC_076684	Coronaviridae	GenBank	Alphacoronavirus sp.
17595	NC_076685	0	20240206	Coronaviridae	0.0	Alphacoronavirus	NC_076685	Coronaviridae	GenBank	Alphacoronavirus sp.
17596	NC_048217	0	20240206	Coronaviridae	0.0	Betacoronavirus	NC_048217	Coronaviridae	GenBank	Murine coronavirus
17597	NC_006213	0	20240206	Coronaviridae	1.0	Betacoronavirus	NC_006213	Coronaviridae	VHDB	Betacoronavirus 1
17598	NC_006213	0	20240206	Coronaviridae	0.0	Betacoronavirus	NC_006213	Coronaviridae	GenBank	Betacoronavirus 1
17599	NC_038861	0	20240206	Coronaviridae	0.0	Alphacoronavirus	NC_038861	Coronaviridae	VHDB	Alphacoronavirus 1
17600	NC_038861	0	20240206	Coronaviridae	0.0	Alphacoronavirus	NC_038861	Coronaviridae	GenBank	Alphacoronavirus 1
17601	OP959790	0	20240206	Coronaviridae	0.0	Betacoronavirus	OP959790	Coronaviridae	GenBank	Betacoronavirus 1
17602	OQ915150	0	20240206	Coronaviridae	0.0	Alphacoronavirus	OQ915150	Coronaviridae	GenBank	Porcine epidemic diarrhea virus
17603	OP823402	0	20240206	Coronaviridae	0.0	Gammacoronavirus	OP823402	Coronaviridae	GenBank	Avian coronavirus
17604	OP529823	0	20240206	Coronaviridae	0.0	Alphacoronavirus	OP529823	Coronaviridae	GenBank	Porcine epidemic diarrhea virus
17605	OP529824	0	20240206	Coronaviridae	0.0	Alphacoronavirus	OP529824	Coronaviridae	GenBank	Porcine epidemic diarrhea virus
17606	OQ920097	0	20240206	Coronaviridae	0.0	Alphacoronavirus	OQ920097	Coronaviridae	GenBank	Human coronavirus 229E
17607	OQ920098	0	20240206	Coronaviridae	0.0	Alphacoronavirus	OQ920098	Coronaviridae	GenBank	Human coronavirus 229E
17608	OQ920099	0	20240206	Coronaviridae	0.0	Alphacoronavirus	OQ920099	Coronaviridae	GenBank	Human coronavirus 229E
17609	OQ920100	0	20240206	Coronaviridae	0.0	Alphacoronavirus	OQ920100	Coronaviridae	GenBank	Human coronavirus 229E
17610	OQ920101	0	20240206	Coronaviridae	0.0	Alphacoronavirus	OQ920101	Coronaviridae	GenBank	Human coronavirus 229E
17611	OP805351	0	20240206	Coronaviridae	0.0	Alphacoronavirus	OP805351	Coronaviridae	GenBank	Alphacoronavirus 1
17612	OK017907	0	20240206	Coronaviridae	0.0	Alphacoronavirus	OK017907	Coronaviridae	GenBank	Alphacoronavirus sp.
17613	OK017908	0	20240206	Coronaviridae	0.0	Betacoronavirus	OK017908	Coronaviridae	GenBank	Betacoronavirus sp.
17614	OQ469322	0	20240206	Coronaviridae	0.0		OQ469322	Coronaviridae	GenBank	Hipposideros armiger Coronavirus
17615	ON544072	0	20240206	Coronaviridae	0.0	Betacoronavirus	ON544072	Coronaviridae	GenBank	Betacoronavirus 1
17616	OP684009	0	20240206	Coronaviridae	0.0	Gammacoronavirus	OP684009	Coronaviridae	GenBank	Avian coronavirus
17617	OQ378935	0	20240206	Coronaviridae	0.0	Alphacoronavirus	OQ378935	Coronaviridae	GenBank	Porcine epidemic diarrhea virus
17618	OP287015	0	20240206	Coronaviridae	0.0	Alphacoronavirus	OP287015	Coronaviridae	GenBank	Porcine epidemic diarrhea virus
17619	OP894120	0	20240206	Coronaviridae	0.0	Alphacoronavirus	OP894120	Coronaviridae	GenBank	Porcine epidemic diarrhea virus
17620	OQ703966	0	20240206	Coronaviridae	0.0	Alphacoronavirus	OQ703966	Coronaviridae	GenBank	Porcine epidemic diarrhea virus
17621	OQ718861	0	20240206	Coronaviridae	0.0	Betacoronavirus	OQ718861	Coronaviridae	GenBank	Betacoronavirus 1
17622	OQ736716	0	20240206	Coronaviridae	0.0	Deltacoronavirus	OQ736716	Coronaviridae	GenBank	Coronavirus HKU15
17623	OQ736717	0	20240206	Coronaviridae	0.0	Deltacoronavirus	OQ736717	Coronaviridae	GenBank	Coronavirus HKU15
17624	OP381188	0	20240206	Coronaviridae	0.0	Gammacoronavirus	OP381188	Coronaviridae	GenBank	Avian coronavirus
17625	OQ786859	0	20240206	Coronaviridae	0.0	Betacoronavirus	OQ786859	Coronaviridae	GenBank	Merbecovirus sp.
17626	OQ786860	0	20240206	Coronaviridae	0.0	Betacoronavirus	OQ786860	Coronaviridae	GenBank	Merbecovirus sp.
17627	OQ786861	0	20240206	Coronaviridae	0.0	Betacoronavirus	OQ786861	Coronaviridae	GenBank	Merbecovirus sp.
17628	OQ786862	0	20240206	Coronaviridae	0.0	Betacoronavirus	OQ786862	Coronaviridae	GenBank	Merbecovirus sp.
17629	OP326239	0	20240206	Coronaviridae	0.0	Alphacoronavirus	OP326239	Coronaviridae	GenBank	Porcine epidemic diarrhea virus
17630	OP480878	0	20240206	Coronaviridae	0.0	Alphacoronavirus	OP480878	Coronaviridae	GenBank	Porcine epidemic diarrhea virus
17631	OP688373	0	20240206	Coronaviridae	0.0	Alphacoronavirus	OP688373	Coronaviridae	GenBank	Porcine epidemic diarrhea virus
17632	OP972835	0	20240206	Coronaviridae	0.0	Alphacoronavirus	OP972835	Coronaviridae	GenBank	Porcine epidemic diarrhea virus
17633	OQ349200	0	20240206	Coronaviridae	0.0	Alphacoronavirus	OQ349200	Coronaviridae	GenBank	Porcine epidemic diarrhea virus
17634	OQ349201	0	20240206	Coronaviridae	0.0	Alphacoronavirus	OQ349201	Coronaviridae	GenBank	Porcine epidemic diarrhea virus
17635	OQ349202	0	20240206	Coronaviridae	0.0	Alphacoronavirus	OQ349202	Coronaviridae	GenBank	Porcine epidemic diarrhea virus
17636	OQ589489	0	20240206	Coronaviridae	0.0	Alphacoronavirus	OQ589489	Coronaviridae	GenBank	Porcine epidemic diarrhea virus
17637	OQ725698	0	20240206	Coronaviridae	0.0	Gammacoronavirus	OQ725698	Coronaviridae	GenBank	Avian coronavirus
17638	OQ731917	0	20240206	Coronaviridae	0.0	Alphacoronavirus	OQ731917	Coronaviridae	GenBank	Porcine epidemic diarrhea virus
17639	OQ731918	0	20240206	Coronaviridae	0.0	Alphacoronavirus	OQ731918	Coronaviridae	GenBank	Porcine epidemic diarrhea virus
17640	OP382083	0	20240206	Coronaviridae	0.0	Alphacoronavirus	OP382083	Coronaviridae	GenBank	Porcine epidemic diarrhea virus
17641	ON960077	0	20240206	Coronaviridae	0.0	Alphacoronavirus	ON960077	Coronaviridae	GenBank	Porcine epidemic diarrhea virus
17642	ON964511	0	20240206	Coronaviridae	0.0	Alphacoronavirus	ON964511	Coronaviridae	GenBank	Porcine epidemic diarrhea virus
17643	OQ541850	0	20240206	Coronaviridae	0.0	Betacoronavirus	OQ541850	Coronaviridae	GenBank	Betacoronavirus 1
17644	OQ566226	0	20240206	Coronaviridae	0.0	Deltacoronavirus	OQ566226	Coronaviridae	GenBank	Coronavirus HKU15
17645	OQ566227	0	20240206	Coronaviridae	0.0	Deltacoronavirus	OQ566227	Coronaviridae	GenBank	Coronavirus HKU15
17646	OQ621715	0	20240206	Coronaviridae	0.0	Betacoronavirus	OQ621715	Coronaviridae	GenBank	Betacoronavirus 1
17647	OQ621716	0	20240206	Coronaviridae	0.0	Betacoronavirus	OQ621716	Coronaviridae	GenBank	Betacoronavirus 1
17648	OQ621717	0	20240206	Coronaviridae	0.0	Betacoronavirus	OQ621717	Coronaviridae	GenBank	Betacoronavirus 1
17649	OQ621719	0	20240206	Coronaviridae	0.0	Betacoronavirus	OQ621719	Coronaviridae	GenBank	Betacoronavirus 1
17650	OQ621720	0	20240206	Coronaviridae	0.0	Betacoronavirus	OQ621720	Coronaviridae	GenBank	Betacoronavirus 1
17651	OQ621721	0	20240206	Coronaviridae	0.0	Betacoronavirus	OQ621721	Coronaviridae	GenBank	Betacoronavirus 1
17652	OQ621724	0	20240206	Coronaviridae	0.0	Betacoronavirus	OQ621724	Coronaviridae	GenBank	Betacoronavirus 1
17653	OQ621725	0	20240206	Coronaviridae	0.0	Betacoronavirus	OQ621725	Coronaviridae	GenBank	Betacoronavirus 1
